trait,vector_trait,eval_model,eval_model_name,extract_revision,eval_revision,layer,coef,target_vector_norm,baseline_path,output_path,baseline_rows,output_rows,baseline_trait_mean,baseline_trait_median,baseline_coherence_mean,baseline_coherence_median,output_trait_mean,output_trait_median,output_coherence_mean,output_coherence_median,delta_trait_mean,delta_trait_median,delta_coherence_mean,delta_coherence_median,status
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step3000,Olmo-3-7B-Instruct,16,0.5,17.25625,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step3000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm17p25625_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,10.46818534723887,9.203839549849032,74.3845810128848,79.05147794198197,4.706035976764245,5.990061731347884,10.647268535491719,11.813138335492297,complete
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step5000,Olmo-3-7B-Instruct,16,0.5,16.103125,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step5000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm16p103125_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,12.128987465461394,9.9629636722841,73.47980736872006,77.45242334213518,6.366838094986768,6.7491858537829525,9.742494891326984,10.214083735645502,complete
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step7000,Olmo-3-7B-Instruct,16,0.5,17.25625,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step7000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm17p25625_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,9.562688501695138,8.697204302015495,74.8827673872925,74.30180567871602,3.8005391312205123,5.4834264835143465,11.145454909899428,7.063466072226348,complete
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step9000,Olmo-3-7B-Instruct,16,0.5,16.103125,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step9000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm16p103125_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,8.519424664460333,9.175775352207978,76.42637409732768,80.04775945172872,2.757275293985707,5.96199753370683,12.689061619934606,12.809419845239049,complete
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step10000,Olmo-3-7B-Instruct,16,0.5,16.103125,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step10000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm16p103125_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,8.970368462744956,7.996355877580192,73.61596092536531,73.11157609036398,3.2082190922703298,4.782578059079045,9.878648447972239,5.873236483874308,complete
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step15000,Olmo-3-7B-Instruct,16,0.5,17.25625,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step15000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm17p25625_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,13.674400242089323,10.543669852220983,78.87339223485084,81.03926216245105,7.912250871614697,7.329892033719835,15.136079757457765,13.800922555961378,complete
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step20000,Olmo-3-7B-Instruct,16,0.5,16.103125,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step20000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm16p103125_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,9.881980011615632,8.385551352406875,76.003692854021,76.77022849917432,4.1198306411410055,5.171773533905727,12.266380376627922,9.531888892684648,complete
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step30000,Olmo-3-7B-Instruct,16,0.5,16.103125,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step30000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm16p103125_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,8.680174858544826,7.601717454125917,74.52996180396055,75.97148444150508,2.9180254880701995,4.38793963562477,10.79264932656747,8.733144835015409,complete
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step50000,Olmo-3-7B-Instruct,16,0.5,17.25625,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step50000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm17p25625_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,14.784929549018711,11.722069447650442,76.5993691980906,79.934392545408,9.022780178544085,8.508291629149294,12.862056720697524,12.696052938918328,complete
sycophantic,sycophantic_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step99000,Olmo-3-7B-Instruct,16,0.5,16.103125,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/baselines/baseline_sycophantic.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/sycophantic_base_vectors_to_instruct_layer16_coef0p5_v1/steered/stage1-step99000/steering_results_sycophantic_character_neutral_q_to_sycophantic_layer16_targetnorm16p103125_coef0p5.csv,60,60,5.762149370474626,3.2137778185011476,63.737312477393075,67.23833960648967,12.942062338096054,10.59923764596264,73.82711633276533,76.4904030525183,7.179912967621428,7.385459827461492,10.089803855372253,9.252063446028629,complete
